ACNO,Title,出版社,Authur Name
C00119,鄭板橋外傳,世界文物,郁患
C00214,亞歷山大,名人出版社,大牟田章
C00314,聖地之旅I: 基督的行蹤,光復書局股份有限公司,彭之城
C00315,聖地之旅II: 摩西的行蹤,光復書局股份有限公司,彭之城
C00316,中國神話,地球,李亦園
C00321,自然百科全書,自然科學文化事業股份有限公司,張之傑
C00330,氣象與天文,自然科學文化事業股份有限公司,荒川秀俊
C00331,地球,自然科學文化事業股份有限公司,鹿沼茂三郎
C00332,生命的奧秘,自然科學文化事業股份有限公司,八杉龍一
C00337,人體探索,自然科學文化事業股份有限公司,Claire Rayner
C00338,身心圖說,章魚叢書公司,劉治平
C00340,科學百科全書,自然科學文化事業股份有限公司,石育民
C00341,住宅設計專輯    (Hsiad's House Design' Album),摩登家庭雜誌社,許正孝
C00343,當代室內設計作品選1,北屋出版事業股份有限公司,吳宗錦
C00344,當代室內設計作品選2,北屋出版事業股份有限公司,吳宗錦
C00345,當代室內設計作品選3,北屋出版事業股份有限公司,吳宗錦
C00348,包裝設計3    ﹙Packaging﹚,靚影,洪啟明
C00365,中國近百年歷史圖集(1840-1978) (A Pictorial HISTIOY OF MODERN CHINA),天地圖書有限公司,「中國近百年歷史圖集」編輯委員會
C00371,千里絲路,錦繡,許鐘榮
C00372,大哉黃河,錦繡,郭嗣汾
C00376,長城萬里,錦繡,林藜
C00380,中國宗教藝術大觀 3,自然科學文化事業股份有限公司,呂石明
C00381,中國宗教藝術大觀 4,自然科學文化事業股份有限公司,呂石明
C00382,中國宗教藝術大觀 5,自然科學文化事業股份有限公司,呂石明
C00384,錦繡中華,香港華夏,錦繡中華畫冊編輯委員會
C00386,古文明之謎,讀者文摘遠東有限公司,張樹柏
C00389,圖說世界的歷史 8,光復書局股份有限公司,
C00391,文明的搖籃,紐約時代公司,徐東濱
C00392,人類的遺產    2,光復書局股份有限公司,游禮毅
C00393,人類的遺產    1,光復書局股份有限公司,黃得時
C00394,人類的遺產    3,光復書局股份有限公司,黃得時
C00395,圖說世界的歷史 1,光復書局股份有限公司,
C00397,世界天然奇景,讀者文摘遠東有限公司,"Richcrd L. Scheffel  ,   Susan J Wernert"
C00399,圖說世界的歷史 3,光復書局股份有限公司,
C00400,圖說世界的歷史 7,光復書局股份有限公司,
C00402,早期伊斯蘭,紐約時代公司,德斯蒙德‧斯圖爾特與
C00403,圖說世界的歷史 4,光復書局股份有限公司,
C00404,圖說世界的歷史 6,光復書局股份有限公司,
C00405,圖說世界的歷史 2,光復書局股份有限公司,
C00408,圖說世界的歷史 5,光復書局股份有限公司,
C00410,俄羅斯的興起,時代公司,羅伯特．華萊士
C00412,古代埃及,時代公司,萊昂內爾．卡森
C00413,紀念孫中山先生,文物,盛永華
C00414,魯迅畫傳,人民美術,陳漱渝
C00415,應用英文大全,讀者文摘遠東有限公司,張樹柏
C00421,中國童話    (夏),英文漢聲,漢聲雜誌社
C00425,中國童話    (秋),英文漢聲,漢聲雜誌社
C00427,中國童話    (冬),英文漢聲,漢聲雜誌社
C00428,中國童話    (冬),英文漢聲,漢聲雜誌社
C00434,華夏意匠,廣角鏡,李允鉌
C00435,中國陶瓷 1,光復書局股份有限公司,譚旦冏
C00436,中國陶瓷 2,光復書局股份有限公司,譚旦冏
C00437,中國陶瓷 3,光復書局股份有限公司,譚旦冏
C00438,中國陶瓷 4,光復書局股份有限公司,譚旦冏
C00439,中國陶瓷 5,光復書局股份有限公司,譚旦冏
C00440,文字造形,眾文圖書,魏朝宏
C00441,故宮藏畫精選,讀者文摘遠東有限公司,張樹柏
C00443,彩色攝影技術,章魚叢書公司,John Hedgecoe
C00444,一個中國人眼底裏的－絲綢之旅,京士威國際出版有限公司,水禾田
C00447,敦煌千佛洞壁畫輯覽,盤庚,林聰明
C00485,中國文學史綱要    (上冊),昭明,黎淦林
C00486,中國文學史綱要    (下冊),昭明,黎淦林
C00539,中國民族史,中國文化,羅香林
C00584,中國文學史,廈門大學,周祖誤
C00650,文學年報 論文分類彙編 (五),龍門,燕京大學國文學會
C00688,中國小說史略,新藝,魯迅
C00932,紫禁城宮殿,商務印書館,于倬雲
C00950,柴契爾夫人傳,金文圖書,阿倫‧梅雅
C01336,仲夏夜之夢,大光,莎士比亞
C01344,秦併六國史話,三育,李唐
C01354,宋詞選,,胡雲翼
C01362,冰心小說選,大通,冰心
C01463,聞一多的故事,萬源圖書有限公司,史靖
C01498,張愛玲小說集,皇冠,張愛玲
C01499,惘然記,皇冠,張愛玲
C01508,詞人之舟,夏林含英,琦君
C01516,萬水千山走遍,藝文圖書公司,三毛
C01699,構圖與繪畫分析,武陵出版社,陳景容
C01707,高茲基的鉛筆畫與水彩畫 (Ted Kautzky Master of Pencil and Waterrotor),藝術圖書公司,Ted Kautzky
C01852,竹林七賢,莊嚴出版社,姜伯純
C01977,100 個傷腦筋的問題 (第四集),香港上海書局有限公司,許曉風
C01997,極地探險家阿蒙森,新雅,雷宗友
C02367,第二十世紀大戰,麒麟書業有限公司,David Shermer
C02387,中國名勝古蹟,讀者文摘,李勉民
C02395,名家鑑賞 ~ 唐詩大觀,商務,蕭滌非
C02410,散文十三家,山邊社,徐志摩
C02433,沙漠,世界地理,藍祖蔚
C02513,文學和文學家的故事,廣角鏡,劉賓雁
C02526,也是集,廣角鏡,錢鍾書
C02575,韓非子淺譯,國家出版社,秋圃
C02723,家庭園藝,讀者文摘,李勉民
C02724,西方文明故事,國家出版社,日高八郎
C02804,中國社會政治史 (三),三民書局股份有限公司,薩孟武
C02805,中國社會政治史 (四),三民書局股份有限公司,薩孟武
C02869,人啊，人！,遠東評論,戴厚英
C02897,21 世紀世界彩色百科全書    (1),百科文化事業公司,蔡辰男
C02898,21 世紀世界彩色百科全書    (2),百科文化事業公司,蔡辰男
C02899,21 世紀世界彩色百科全書    (3),百科文化事業公司,蔡辰男
C02900,21 世紀世界彩色百科全書    (4),百科文化事業公司,蔡辰男
C02901,21 世紀世界彩色百科全書    (5),百科文化事業公司,蔡辰男
C02902,21 世紀世界彩色百科全書    (6),百科文化事業公司,蔡辰男
C02903,21 世紀世界彩色百科全書    (7),百科文化事業公司,蔡辰男
C02904,21 世紀世界彩色百科全書    (8),百科文化事業公司,蔡辰男
C02905,21 世紀世界彩色百科全書    (9),百科文化事業公司,蔡辰男
C02906,21 世紀世界彩色百科全書    (10),百科文化事業公司,蔡辰男
C02914,21 世紀世界彩色百科全書    (11),百科文化事業公司,蔡辰男
C02915,攝影自學指南,讀者文摘,Michael Freeman
C02937,汽車全書,讀者文摘,李勉民
C02938,實用修理全書,讀者文摘,李勉民
C02947,牛頓科學研習百科,牛頓,
C02948,牛頓科學研習百科,牛頓,
C03010,作文應用詞語手冊,明華出版社,
C03029,牛頓- 伽利略,文光,文傑
C03048,元人散曲選,三聯書店香港分店,龍潛菴
C03051,詩經選,三聯書店香港分店,劉逸生
C03061,豐子愷漫畫選繹,青文,明川 (盧瑋鑾)
C03114,新修康熙字典 上冊,齡記出版有限公司,凌紹雯
C03115,新修康熙字典 下冊,齡記出版有限公司,凌紹雯
C03159,奇妙的發明,讀者文摘遠東有限公司,李勉民
C03160,中華成語詞典 (Dictionary of Chinese Idiomatic Phrases),Eton Press,Huang Yen-Kai
C03162,圖片香港歷史,香港大道文化有限公司,香港大道文化有限公司編輯部
C03163,中國風光攝影集,讀者文摘,李勉民
C03164,中國珍稀動物,讀者文摘,李勉民
C03166,香港法制與基本法,廣角鏡,陳弘毅
C03176,心理學趣談,名家,程曦
C03201,核電知識三百問,廣角鏡,朱家群
C03209,處世的藝術,業強出版社,業強編輯室
C03214,家庭盆栽,牛頓出版社,黃經良
C03215,平面設計手冊 (The Graphicat),廣告製作公司 AD Production Service,鍾錦榮
C03217,如何閱讀一本書,桂冠圖書股份有限公司,何德勒
C03221,當代英文書信大全,海外英語出版社,樓偉亮
C03252,中國名城古都,讀者文摘遠東有限公司,李勉民
C03293,中國美術史,藝術圖書公司,何恭人
C03368,新詩的開路人 -- 聞一多,波文書局,許芥星
C03384,白開水,香港周刊出版社有限公司,李碧華
C03389,戀之悲歌,蘭嶼出版社,張愛玲
C03454,川北,雅苑,
C03497,日本近代史 上,商務,鈴木正四
C03498,日本近代史 下,商務,鈴木正四
C03537,詩的藝術,三聯書店,曾敏之
C03552,中國語文通論,香江出版公司,陳耀南
C03557,香港文學初探,華漢文化事業公司,黃維樑
C03572,宋遼金元史,眾文圖書股份有限公司,王明蓀
C03591,宋遼金元史新論,中國史學社,陶晉生
C03594,生物奇觀,牛頓出版股份有限公司,丁錫鏞
C03595,星星‧月亮‧太陽,牛頓出版股份有限公司,丁錫鏞
C03596,科學家列傳,牛頓出版股份有限公司,丁錫鏞
C03599,中國名人趣事,新雅文化事業有限公司,寒星
C03711,西安事變珍史,躍昇文化,姚立夫
C03717,悲歡的歌者,時報文化出版事業有限公司,蔡志忠
C03732,中國傳統文化再檢討 (下篇),商務,
C03750,名家鑑賞唐詩大觀,商務,程千帆
C03817,古文學今譯,學海書樓,中文大學校外進修部
C03828,寰宇珍聞錄,讀者文摘,李勉民
C03833,實幹社會服務案例彙編 (Solid Practice),商務,香港明愛社會工作部
C03847,不遷,華漢文化事業有限公司,小思
C03854,中學白話文選,故鄉出版社,故鄉編輯部
C03855,五玉碟,知識系統出版有限公司,張系國
C03910,張學良評傳,星輝圖書公司,司馬桑敦
C03914,中國古代軍事家記選注,岳麓書社,
C03918,偽帝宮內幕,文史,王慶祥
C03929,中國近代史,遼寧人民出版社,李榮華
C03952,歐陽修散文選,三聯書店,陳必祥
C03955,小小百科 -- 插畫世界知識集,商務,Brenda
C03956,小小寰宇 -- 插畫世界地圖集,商務,關佩貞
C03962,沾水筆表現技法,美工圖書社,西上春雄
C03963,手繪POP的藝術,美工圖書社,朱介英
C03967,中國傳統文化再檢討 (上篇),商務,復旦大學歷史系
C03969,十六世紀中國的政治風雲,商務,懷效鋒
C03976,中國格言大成,三聯書店,陳宜民
C03983,當代抒情散文選,百花文藝出版社,余樹森
C04010,玉想,突破出版社,張曉風
C04022,中國名菜精選,香港飲食天地出版社; 中國財政經濟出版社,劉傑
C04048,香港 1991,香港政府,香港政府
C04052,美麗的香港人,山邊社,阮海棠
C04059,寫給女孩子,勵志書坊,戴爾‧卡耐基
C04072,新序今註今譯,天津古藉,盧元駿
C04085,我的小時候,突破出版社,關美瓊
C04087,昆明的紅嘴鷗,突破出版社,也斯
C04110,如此中共,中國大陸問題研究中心,
C04111,中華人民共和國簡史,曙光圖書,薜爾頓
C04124,溝通的藝術,突破出版社,小沿
C04139,創作手記,突破出版社,東瑞
C04142,都市候鳥,突破出版社,李錦洪
C04154,生命的奮進,百姓文化,牟宗三
C04157,兩宋文學史,上海發行所,程千帆
